dataset_id	sample_id	K	baseline_method_id	delta_spatial_coherence	delta_marker_coherence	bayesspace_note	baseline_note
GSE280318	GSM8703564_Tumor20	6	M0_expr_kmeans	0.147303461451885	0.0003247726049210309	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication
GSE280318	GSM8703564_Tumor20	6	M1_spatial_concat_kmeans	0.14784246145188507	-0.0010422273950789762	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication
GSE280318	GSM8703564_Tumor20	6	M2_spatial_ward	-0.029540538548115003	0.04637077260492095	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication-m2
GSE280318	GSM8703564_Tumor20	6	M3_spatial_leiden	-0.069639538548115	0.206490772604921	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication
GSE280318	GSM8703564_Tumor20	6	M4_spagcn	0.12984746145188508	0.178267772604921	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication-m4
GSE280318	GSM8703564_Tumor20	6	M5_stagate	0.05409646145188507	0.09680277260492098	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication-m5
GSE280318	GSM8703565_Tumor24	4	M0_expr_kmeans	0.13340329755722202	0.25336614067516605	rigor-backfill-v4-GSE280318-GSM8703565_Tumor24	stage3g-full-replication
GSE280318	GSM8703565_Tumor24	4	M1_spatial_concat_kmeans	0.1328422975572221	0.24933214067516596	rigor-backfill-v4-GSE280318-GSM8703565_Tumor24	stage3g-full-replication
GSE280318	GSM8703565_Tumor24	4	M2_spatial_ward	0.01674129755722209	0.26525014067516606	rigor-backfill-v4-GSE280318-GSM8703565_Tumor24	stage3g-full-replication-m2
GSE280318	GSM8703565_Tumor24	4	M3_spatial_leiden	-0.04425570244277799	0.401816140675166	rigor-backfill-v4-GSE280318-GSM8703565_Tumor24	stage3g-full-replication
GSE280318	GSM8703565_Tumor24	4	M4_spagcn	0.10636629755722204	0.26559414067516596	rigor-backfill-v4-GSE280318-GSM8703565_Tumor24	stage3g-full-replication-m4
GSE280318	GSM8703565_Tumor24	4	M5_stagate	0.052011297557222	0.23404714067516597	rigor-backfill-v4-GSE280318-GSM8703565_Tumor24	stage3g-full-replication-m5
GSE280318	GSM8703565_Tumor24	6	M0_expr_kmeans	0.16455222292748595	0.062583278454302	rigor-backfill-v4-GSE280318-GSM8703565_Tumor24	stage3g-full-replication
