dataset_id	sample_id	method_id	method_label	K	partition_id	is_reference	feature_type	feature_id	genes_used	n_boundary	n_interior	median_boundary	median_interior	median_delta_boundary_minus_interior	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_replicates	pvalue_mannwhitney_spot_level	n_mixed_blocks	block_median_delta	block_interval_lower	block_interval_upper	fdr_bh_within_partition
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	2129	2561	0.18493535184779705	0.10287519097892626	0.08206016086887079	0.05975455341331012	0.10550067240249163	1000	4.4579268388671816e-23	35	0.009213749672445773	-0.24654065135191483	0.40220809486092	8.1728658712565e-23
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	2131	2559	0.0	0.0	0.0	0.0	0.0	1000	5.839451953979067e-08	34	0.0	-0.023636218951541606	0.36103908268958707	7.137107943752193e-08
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	2116	2574	0.0	0.0	0.0	0.0	0.0	1000	0.000348614099508598	35	0.0	-0.08575723644169614	0.3336301572242355	0.0004260838993993975
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	2129	2561	0.0	0.0	0.0	0.0	0.0	1000	0.00017465507793324372	35	0.0	-0.06782248509256295	0.32140256967371167	0.00021346731747396455
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	gene	SPP1	SPP1	2131	2559	0.19446153798064011	0.0	0.19446153798064011	0.0	0.21762959042034158	1000	3.606826121817289e-24	34	0.0	-0.3946648605875159	0.506187079817746	5.6678696199985966e-24
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	gene	SPP1	SPP1	2116	2574	0.15767758552416655	0.0	0.15767758552416655	0.0	0.19838819688678774	1000	8.393689349107848e-13	35	0.0	-0.801844195229616	0.3709520839913204	1.3190083262883761e-12
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	gene	SPP1	SPP1	2129	2561	0.1687808835344591	0.0	0.1687808835344591	0.0	0.20313906754550923	1000	7.55523554558287e-16	35	0.0	-0.8024140388882237	0.6091818656959763	1.1872513000201653e-15
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	True	gene	COL1A1	COL1A1	804	3080	3.3588821345239213	3.38935858274548	-0.030476448221558705	-0.1542534460465899	0.10246214176363097	1000	0.4967888263788949	25	0.2048964607907835	-1.3992569230665781	3.9210272676553686	0.5425420845026732
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_23	False	gene	COL1A1	COL1A1	764	3120	3.6533851545951084	3.3090854131275016	0.3442997414676068	0.24135654500390305	0.4516173949343584	1000	6.46555006485946e-11	27	0.4246742032514548	-0.6630169492807633	3.9293795926263293	2.3707016904484687e-10
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_37	False	gene	COL1A1	COL1A1	815	3069	3.347879970688437	3.404186097860818	-0.056306127172380815	-0.16669998647642958	0.06515746003838016	1000	0.4129183174912555	26	0.22515402908792592	-1.0901658914613959	3.911126363628208	0.4129183174912555
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	True	gene	EPCAM	EPCAM	804	3080	1.8900999808547336	1.7599133326811345	0.13018664817359915	0.07298201627031678	0.1883412117340361	1000	1.8825815437136092e-05	25	0.006469652876278875	-0.6796025757198374	2.0453299953678483	6.902798993616568e-05
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_23	False	gene	EPCAM	EPCAM	764	3120	1.8447495952257364	1.777298957411248	0.06745063781448835	-0.009238866161900703	0.13321013427267264	1000	0.015062819288743028	27	0.041210724653649056	-1.7479313487719659	1.6372282942449303	0.01656910121761733
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_37	False	gene	EPCAM	EPCAM	815	3069	1.9082081237069937	1.7486493455743264	0.15955877813266728	0.10254562189418927	0.21972936368876592	1000	3.346262399627112e-08	26	0.033702548085970285	-1.0102489429463957	2.025048803199123	3.6808886395898234e-07
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	True	gene	FAP	FAP	804	3080	0.0	0.0	0.0	0.0	0.0	1000	0.5425420845026732	25	0.0	-0.35227979755778294	0.39327275873261525	0.5425420845026732
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_23	False	gene	FAP	FAP	764	3120	0.0	0.0	0.0	0.0	0.0	1000	0.0016877888300665714	27	0.0	-0.6640810843529357	1.0019128382657156	0.0030942795217887144
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_37	False	gene	FAP	FAP	815	3069	0.0	0.0	0.0	0.0	0.0	1000	0.2457370907709191	26	0.0	-0.4756363087203791	0.46217919874613855	0.3378884998100138
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_11	True	gene	PTPRC	PTPRC	804	3080	0.0	0.0	0.0	0.0	0.0	1000	0.11804311600646714	25	0.0	0.0	0.0	0.16230928450889232
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_23	False	gene	PTPRC	PTPRC	764	3120	0.0	0.0	0.0	0.0	0.0	1000	0.3361974540882141	27	0.0	0.0	0.0	0.3361974540882141
GSE267401	GSM8265212_CTC21M	BayesSpace	BayesSpace	4	seed_37	False	gene	PTPRC	PTPRC	815	3069	0.0	0.0	0.0	0.0	0.0	1000	0.023180708037154916	26	0.0	0.0	0.0	0.04249796473478401
